ciphersuite,handshakes/s
TLS_AES_128_GCM_SHA256,399.290865
TLS_AES_256_GCM_SHA384,380.615452
TLS_CHACHA20_POLY1305_SHA256,387.066744
TLS_RSA_WITH_RC4_128_SHA,499.525973
TLS_RSA_WITH_3DES_EDE_CBC_SHA,484.997820
TLS_RSA_WITH_AES_128_CBC_SHA,487.009975
TLS_RSA_WITH_AES_256_CBC_SHA,475.588662
TLS_RSA_WITH_AES_128_CBC_SHA256,464.810441
TLS_RSA_WITH_AES_128_GCM_SHA256,533.233264
TLS_RSA_WITH_AES_256_GCM_SHA384,446.984015
TLS_ECDHE_RSA_WITH_RC4_128_SHA,405.543681
TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,411.974116
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,411.640540
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,410.256691
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,435.517329
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,421.248973
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,422.407042
TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,445.359170
